side,solve_index,outer_iteration,level,name,seconds,trace_elapsed_seconds
pyqcu,0,8,0,fine_pre_smoother,0.003269878,1.260178295
pyqcu,0,8,0,fine_restriction,0.003305781,1.263714688
pyqcu,0,8,1,level_prepare,0.003241377,1.26723178
pyqcu,0,8,1,coarsest_bicgstab,0.153574796,1.421064991
pyqcu,0,8,1,level_reconstruct,0.00292806,1.424109757
pyqcu,0,8,1,coarse_vcycle,0.160318465,1.424299667
pyqcu,0,8,0,fine_prolongation,0.002722348,1.427030517
pyqcu,0,8,0,fine_correction_residual,0.002638244,1.429873672
pyqcu,0,8,0,fine_post_smoother,0.003089369,1.433171152
pyqcu,0,8,0,fine_matpc,0.002523938,1.435943504
pyqcu,0,8,0,arnoldi,0.001571686,1.437752003
pyqcu,0,8,0,outer_iteration,0.180993295,1.437898411
pyqcu,0,8,0,fgmres_solution_update,0.000631235,1.438540546
pyqcu,0,8,0,true_residual_refresh,0.003216976,1.441968333
pyqcu,0,9,0,fine_pre_smoother,0.003251478,1.445623633
pyqcu,0,9,0,fine_restriction,0.003304681,1.449136125
pyqcu,0,9,1,level_prepare,0.003248777,1.452546912
pyqcu,0,9,1,coarsest_bicgstab,0.189631167,1.64237989
pyqcu,0,9,1,level_reconstruct,0.00292696,1.645424557
pyqcu,0,9,1,coarse_vcycle,0.196346834,1.645640568
pyqcu,0,9,0,fine_prolongation,0.002730549,1.648379818
pyqcu,0,9,0,fine_correction_residual,0.002704748,1.651436385
pyqcu,0,9,0,fine_post_smoother,0.003132371,1.654786768
pyqcu,0,9,0,fine_matpc,0.002488836,1.657484216
pyqcu,0,9,0,arnoldi,0.000966853,1.658647979
pyqcu,0,9,0,outer_iteration,0.216542838,1.658774086
pyqcu,0,10,0,fine_pre_smoother,0.003711403,1.662543292
pyqcu,0,10,0,fine_restriction,0.00329758,1.666022383
pyqcu,0,10,1,level_prepare,0.003234077,1.66944187
pyqcu,0,10,1,coarsest_bicgstab,0.161666439,1.831284818
pyqcu,0,10,1,level_reconstruct,0.002911859,1.834357386
pyqcu,0,10,1,coarse_vcycle,0.168374005,1.834578598
pyqcu,0,10,0,fine_prolongation,0.002728649,1.837316047
pyqcu,0,10,0,fine_correction_residual,0.002634844,1.840166403
pyqcu,0,10,0,fine_post_smoother,0.003136772,1.843496485
pyqcu,0,10,0,fine_matpc,0.002479936,1.846239135
pyqcu,0,10,0,arnoldi,0.001329972,1.847824822
pyqcu,0,10,0,outer_iteration,0.189165542,1.847995731
pyqcu,0,11,0,fine_pre_smoother,0.003250777,1.85126031
pyqcu,0,11,0,fine_restriction,0.003306881,1.854769002
pyqcu,0,11,1,level_prepare,0.003259778,1.85822309
pyqcu,0,11,1,coarsest_bicgstab,0.159746433,2.018225338
pyqcu,0,11,1,level_reconstruct,0.002911459,2.021272704
pyqcu,0,11,1,coarse_vcycle,0.166558606,2.021517918
pyqcu,0,11,0,fine_prolongation,0.002730249,2.024256468
pyqcu,0,11,0,fine_correction_residual,0.003094669,2.027555248
pyqcu,0,11,0,fine_post_smoother,0.00310457,2.030875329
pyqcu,0,11,0,fine_matpc,0.002473335,2.033565876
pyqcu,0,11,0,arnoldi,0.001330672,2.035164064
pyqcu,0,11,0,outer_iteration,0.18730844,2.035315572
pyqcu,0,11,0,fgmres_solution_update,0.000486127,2.035813099
pyqcu,0,11,0,true_residual_refresh,0.003038666,2.039065377
pyqcu,1,1,0,fine_pre_smoother,0.003259178,0.006735068
pyqcu,1,1,0,fine_restriction,0.003325582,0.010288962
pyqcu,1,1,1,level_prepare,0.003234177,0.013745751
pyqcu,1,1,1,coarsest_bicgstab,0.148180001,0.162131264
pyqcu,1,1,1,level_reconstruct,0.00292286,0.16517633
pyqcu,1,1,1,coarse_vcycle,0.154883068,0.165388242
pyqcu,1,1,0,fine_prolongation,0.002718249,0.168114691
pyqcu,1,1,0,fine_correction_residual,0.002712148,0.171105154
pyqcu,1,1,0,fine_post_smoother,0.003130871,0.174465738
pyqcu,1,1,0,fine_matpc,0.002473935,0.177173786
pyqcu,1,1,0,arnoldi,0.00127727,0.181488822
pyqcu,1,1,0,outer_iteration,0.178323749,0.18163353
pyqcu,1,2,0,fine_pre_smoother,0.003249977,0.184899409
pyqcu,1,2,0,fine_restriction,0.00330468,0.1884099
pyqcu,1,2,1,level_prepare,0.003238877,0.196325833
pyqcu,1,2,1,coarsest_bicgstab,0.139104605,0.33564215
pyqcu,1,2,1,level_reconstruct,0.002901458,0.338700317
pyqcu,1,2,1,coarse_vcycle,0.145829872,0.338911329
pyqcu,1,2,0,fine_prolongation,0.00274255,0.341663979
pyqcu,1,2,0,fine_correction_residual,0.002715549,0.347597503
pyqcu,1,2,0,fine_post_smoother,0.003095169,0.350890583
pyqcu,1,2,0,fine_matpc,0.003242277,0.354323171
pyqcu,1,2,0,arnoldi,0.00128587,0.355783451
pyqcu,1,2,0,outer_iteration,0.174272528,0.355920858
pyqcu,1,3,0,fine_pre_smoother,0.003255578,0.359192837
pyqcu,1,3,0,fine_restriction,0.00330108,0.362634425
pyqcu,1,3,1,level_prepare,0.003261078,0.366103715
pyqcu,1,3,1,coarsest_bicgstab,0.137391811,0.503718139
pyqcu,1,3,1,level_reconstruct,0.002908959,0.50686121
pyqcu,1,3,1,coarse_vcycle,0.144190483,0.50703182
pyqcu,1,3,0,fine_prolongation,0.002726649,0.509768569
pyqcu,1,3,0,fine_correction_residual,0.002648744,0.512610525
pyqcu,1,3,0,fine_post_smoother,0.003229077,0.516114116
pyqcu,1,3,0,fine_matpc,0.002480935,0.518789563
pyqcu,1,3,0,arnoldi,0.001424078,0.52038895
pyqcu,1,3,0,outer_iteration,0.164573097,0.520507357
pyqcu,1,4,0,fine_pre_smoother,0.003247677,0.523768035
pyqcu,1,4,0,fine_restriction,0.003777606,0.527739052
pyqcu,1,4,1,level_prepare,0.003264679,0.531220342
pyqcu,1,4,1,coarsest_bicgstab,0.148191302,0.679652357
pyqcu,1,4,1,level_reconstruct,0.002902759,0.682671122
pyqcu,1,4,1,coarse_vcycle,0.154901969,0.682852032
pyqcu,1,4,0,fine_prolongation,0.003195075,0.686055907
pyqcu,1,4,0,fine_correction_residual,0.002642044,0.688892462
pyqcu,1,4,0,fine_post_smoother,0.003056667,0.692126839
pyqcu,1,4,0,fine_matpc,0.002475836,0.694794385
pyqcu,1,4,0,arnoldi,0.001425378,0.696421874
pyqcu,1,4,0,outer_iteration,0.176019523,0.69653768
pyqcu,1,4,0,fgmres_solution_update,0.000628134,0.697175315
pyqcu,1,4,0,true_residual_refresh,0.003174273,0.7005541
pyqcu,1,5,0,fine_pre_smoother,0.003334782,0.704333606
pyqcu,1,5,0,fine_restriction,0.003310281,0.707810196
pyqcu,1,5,1,level_prepare,0.003228876,0.711267385
pyqcu,1,5,1,coarsest_bicgstab,0.165301937,0.876817236
pyqcu,1,5,1,level_reconstruct,0.00292736,0.879761397
pyqcu,1,5,1,coarse_vcycle,0.171914498,0.879950208
pyqcu,1,5,0,fine_prolongation,0.002725749,0.882685757
pyqcu,1,5,0,fine_correction_residual,0.002657146,0.885505111
pyqcu,1,5,0,fine_post_smoother,0.003128771,0.888832293
